iter	Passed	Remaining
682	832384	142589
683	833573	141366
684	834791	140147
685	836021	138930
686	837225	137709
687	838457	136493
688	839637	135268
689	840839	134046
690	842054	132827
691	843264	131607
692	844492	130390
693	845721	129173
694	846954	127957
695	848136	126733
696	849327	125510
697	850553	124292
698	851779	123075
699	852994	121856
700	854199	120635
701	855384	119412
702	856602	118194
703	857825	116976
704	859037	115756
705	860237	114535
706	861476	113320
707	862780	112112
708	864052	110900
709	865282	109683
710	866502	108465
711	867734	107248
712	868944	106028
713	870172	104810
714	871394	103592
715	872621	102374
716	873802	101151
717	874992	99929
718	876225	98712
719	877409	97489
720	878612	96269
721	879815	95049
722	881040	93831
723	882272	92614
724	883483	91394
725	884693	90175
726	885885	88954
727	887086	87733
728	888350	86519
729	889654	85309
730	890917	84094
731	892253	82886
732	893588	81678
733	894904	80468
734	896128	79249
735	897332	78028
736	898573	76811
737	899772	75590
738	901015	74373
739	902232	73154
740	903431	71933
741	904663	70714
742	905885	69495
743	907106	68276
744	908319	67057
745	909547	65838
746	910773	64619
747	911974	63399
748	913204	62180
749	914386	60959
750	915590	59738
751	916789	58518
752	917986	57297
753	919218	56079
754	920422	54859
755	921637	53640
756	922866	52421
757	924071	51201
758	925294	49982
759	926495	48762
760	927715	47543
761	928930	46324
762	930137	45104
763	931324	43884
764	932560	42666
765	933763	41446
766	934981	40227
767	936162	39006
768	937376	37787
769	938592	36568
770	939779	35348
771	940998	34129
772	942190	32909
773	943418	31691
774	944629	30471
775	945824	29252
776	947057	28033
777	948280	26815
778	949493	25596
779	950712	24377
780	951939	23158
781	953158	21939
782	954377	20720
783	955565	19501
784	956769	18282
785	957960	17062
786	959178	15844
787	960391	14625
788	961572	13405
789	962777	12187
790	963978	10968
791	965207	9749
792	966438	8530
793	967655	7312
794	968847	6093
795	970046	4874
796	971260	3655
797	972486	2437
798	973705	1218
799	974881	0
